gene	WT_UN120_r1	WT_UN120_r2	WT_UN120_r3	WT_EM30_r1	WT_EM30_r2	WT_EM30_r3	WT_EM120_r1	WT_EM120_r2	WT_EM120_r3	EDF1_ko_UN120_r1	EDF1_ko_UN120_r2	EDF1_ko_UN120_r3	EDF1_ko_EM30_r1	EDF1_ko_EM30_r2	EDF1_ko_EM30_r3	EDF1_ko_EM120_r1	EDF1_ko_EM120_r2	EDF1_ko_EM120_r3
ENSG00000134765|DSC1	0.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	3.0	0.0
ENSG00000134760|DSG1	1.0	3.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	4.0	2.0	2.0	1.0	0.0	1.0	1.0
ENSG00000175065|DSG4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000134757|DSG3	2.01	8.54	3.325	5.129	2.02	5.04	3.2030000000000003	5.747999999999998	8.205	6.011	5.943	7.485	3.0	2.018	3.003	5.95	12.104	8.999
ENSG00000046604|DSG2	1126.001	2138.14	2052.001	2308.0	1222.0	1195.0	1379.0	1549.0	1507.001	1849.9240000000002	1705.2440000000004	1617.0000000000005	2030.0	1950.0	2218.0	2326.0	3230.9790000000003	2343.0
ENSG00000118271|TTR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000118276|B4GALT6	186.0	323.0	258.00000000000006	341.9990000000001	137.00000000000003	94.0	182.0	199.0	212.0	279.00100000000003	239.0	266.001	367.00000000000006	370.0	415.00000000000006	361.00000000000006	647.9999999999999	429.00100000000003
ENSG00000141437|SLC25A52	0.0	1.002	0.0	0.0	0.0	1.006	1.01	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000153339|TRAPPC8	694.0	1301.0000000000002	1252.0	1655.0	540.0	580.0	1184.0000000000002	1020.999	1145.9999999999998	817.001	773.9999999999999	974.0	1266.999	1127.999	1357.0	1694.9990000000003	3122.0	2131.001
ENSG00000101695|RNF125	82.0	199.001	164.0	238.0	72.0	67.0	136.0	144.0	142.0	117.0	96.0	143.0	171.0	135.0	189.0	181.0	331.999	224.0
